0.100  	 	4.93954366  0.45474913	
0.200  	 	1.15094819  0.15184647	
0.300  	 	0.45676534  0.06219670	
0.400  	 	0.22095248  0.02829719	
0.500  	 	0.11566618  0.01397323	
0.600  	 	0.06287844  0.00674308	
0.700  	 	0.03443412  0.00286224	
0.800  	 	0.01891209  0.00149967	
0.900  	 	0.01024291  0.00063754	
1.000  	 	0.00542427  0.00028674	
1.100  	 	0.00280568  0.00012430	
1.200  	 	0.00140908  0.00005295	
1.300  	 	0.00068776  0.00002132	
1.400  	 	0.00032492  0.00000946	
1.500  	 	0.00014795  0.00000370	
1.600  	 	0.00006502  0.00000162	
1.700  	 	0.00002755  0.00000065	
1.800  	 	0.00001124  0.00000025	
1.900  	 	0.00000441  0.00000010	
2.000  	 	0.00000167  0.00000005	
2.100  	 	0.00000030  0.00000000	
2.200  	 	0.00000000  0.00000000	
2.300  	 	0.00000000  0.00000000	
2.400  	 	0.00000000  0.00000000	
2.500  	 	0.00000000  0.00000000	
2.600  	 	0.00000000  0.00000000	
2.700  	 	0.00000000  0.00000000	
2.800  	 	0.00000000  0.00000000	
2.900  	 	0.00000000  0.00000000
